track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cluster,pca1,pca2
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,11.0,1,80,89,83,31,0,8,4,1,-1.4103389099596988,0.23857061852419645
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,1.0,1,71,61,74,7,0,10,4,1,-0.753403885270241,-0.6494628245120667
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,5.0,1,51,32,53,17,0,31,6,3,1.2653445612246756,-1.3262237515179716
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,9.0,1,55,58,72,11,0,11,15,1,-0.120984204044413,-0.6504309482563271
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,9.0,0,65,23,80,14,63,11,6,4,1.0312317680226075,-1.7490804261601218
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,1.0,1,92,66,58,19,0,8,24,0,-0.95137504040906,1.1920680725652555
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,5.0,0,67,83,76,48,0,8,3,2,-0.6447312650276451,0.32218266502113735
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,5.0,1,67,26,71,37,0,11,4,1,0.6819110381005083,-0.38139084037884596
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,1.0,0,85,22,62,12,0,28,9,2,-0.3953301800614105,-0.1831192864582236
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,2.0,0,81,56,48,21,0,8,33,0,-0.5053516319458685,1.876618138110324
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,6.0,0,57,56,72,23,0,27,5,2,-0.3289992341681466,-0.4348632994909642
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,168,150,5.0,0,78,52,82,18,0,15,7,2,-1.215539079764774,-0.23780979005245556
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,2.0,0,51,32,43,83,0,9,3,3,2.535339955386037,0.8300899561803456
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,8.0,1,64,43,73,5,17,16,4,1,0.1034068631347675,-1.141152891552632
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0,120,11.0,0,78,76,59,43,0,34,3,2,-0.5341239682956493,0.6331236447593002
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187,100,11.0,1,86,67,66,14,0,12,16,1,-1.146090225142636,0.991244025922289
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,23,2,29,120,7.0,1,63,36,73,0,0,36,4,1,-0.17706669322626017,-1.7675077080232948
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0,140,5.0,0,65,87,74,22,0,42,4,2,-1.1919598526020458,-0.921474226139957
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123,6.0,1,69,82,76,6,0,6,3,1,-1.1248095780326715,-0.508204264928541
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139,133,5.0,0,85,81,67,26,0,12,5,2,-1.3421803274909638,0.7681461625938193
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,"1,093",99,1.0,1,85,83,68,7,0,36,20,1,-1.6933666123206141,-0.03748260014153504
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,10,5,168,130,7.0,0,79,96,86,9,0,9,9,2,-2.4327835914820697,0.34045811339302334
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,318,38,96,107,11.0,1,80,82,80,43,0,14,4,1,-1.0025599718636218,0.3809525293172155
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211,122,6.0,0,81,74,71,14,0,56,4,2,-1.5655937932546748,-0.8655144899387608
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,6.0,1,52,52,68,46,0,15,4,3,1.063772538825984,-1.090211732155839
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,0,110,11.0,0,67,78,85,2,0,33,5,2,-1.8705389346664474,-0.7567737147331474
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,5.0,0,74,35,84,0,0,11,6,2,-1.1740813108694066,-0.5741891499098083
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197,168,6.0,1,56,63,87,39,0,11,5,1,-0.07912253840469868,-1.1186510031947827
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27,98,1.0,0,71,17,61,36,0,8,5,2,0.6734103074397234,0.37075590650949425
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,4.0,1,64,51,63,12,0,19,5,1,0.06448551465279921,-0.6633918773890782
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180,4.0,0,72,61,63,67,0,9,28,0,0.10758384902775121,1.7487875842521448
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,6.0,1,61,39,73,37,0,11,3,1,0.6424759069906155,-0.8035657245668217
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,5.0,1,75,57,68,9,0,13,6,1,-0.616041651831875,-0.22474999846685664
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,2.0,1,60,48,79,0,0,12,4,1,-0.4577926614909255,-1.3072014591183994
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,5.0,0,79,96,85,27,0,11,6,2,-2.0335144020682376,0.38467328898426906
